09203429.jpg - 09.09.2011 20:34 X(m): -1942.93, Y(m): 1715.96, Alt(m): 1.65, Depth(m): 33.58, V(m/s): 0.09, Heading(deg): 101.9, Pitch(deg): -0.3, Flash time: 8
09203431.jpg - 09.09.2011 20:34 X(m): -1942.79, Y(m): 1715.85, Alt(m): 1.65, Depth(m): 33.55, V(m/s): 0.09, Heading(deg): 102.8, Pitch(deg): -0.3, Flash time: 8
09203433.jpg - 09.09.2011 20:34 X(m): -1942.65, Y(m): 1715.75, Alt(m): 1.66, Depth(m): 33.54, V(m/s): 0.09, Heading(deg): 103.5, Pitch(deg): -0.3, Flash time: 8
09203435.jpg - 09.09.2011 20:34 X(m): -1942.51, Y(m): 1715.65, Alt(m): 1.65, Depth(m): 33.52, V(m/s): 0.09, Heading(deg): 104.4, Pitch(deg): -0.3, Flash time: 8
09203437.jpg - 09.09.2011 20:34 X(m): -1942.30, Y(m): 1715.48, Alt(m): 1.66, Depth(m): 33.53, V(m/s): 0.09, Heading(deg): 105.7, Pitch(deg): -0.3, Flash time: 8
09203439.jpg - 09.09.2011 20:34 X(m): -1942.16, Y(m): 1715.36, Alt(m): 1.67, Depth(m): 33.53, V(m/s): 0.09, Heading(deg): 106.4, Pitch(deg): -0.3, Flash time: 8
09203441.jpg - 09.09.2011 20:34 X(m): -1942.10, Y(m): 1715.30, Alt(m): 1.68, Depth(m): 33.51, V(m/s): 0.09, Heading(deg): 106.7, Pitch(deg): 0.0, Flash time: 8
09203443.jpg - 09.09.2011 20:34 X(m): -1941.96, Y(m): 1715.18, Alt(m): 1.69, Depth(m): 33.51, V(m/s): 0.10, Heading(deg): 107.1, Pitch(deg): 0.0, Flash time: 8
09203445.jpg - 09.09.2011 20:34 X(m): -1941.75, Y(m): 1714.98, Alt(m): 1.70, Depth(m): 33.51, V(m/s): 0.09, Heading(deg): 107.5, Pitch(deg): 0.0, Flash time: 8
09203447.jpg - 09.09.2011 20:34 X(m): -1941.68, Y(m): 1714.91, Alt(m): 1.70, Depth(m): 33.50, V(m/s): 0.09, Heading(deg): 107.5, Pitch(deg): 0.0, Flash time: 8
09203449.jpg - 09.09.2011 20:34 X(m): -1941.48, Y(m): 1714.71, Alt(m): 1.70, Depth(m): 33.53, V(m/s): 0.10, Heading(deg): 107.3, Pitch(deg): 0.0, Flash time: 8
09203451.jpg - 09.09.2011 20:34 X(m): -1941.41, Y(m): 1714.64, Alt(m): 1.71, Depth(m): 33.55, V(m/s): 0.10, Heading(deg): 107.2, Pitch(deg): -0.3, Flash time: 8
09203453.jpg - 09.09.2011 20:34 X(m): -1941.21, Y(m): 1714.42, Alt(m): 1.72, Depth(m): 33.54, V(m/s): 0.10, Heading(deg): 106.7, Pitch(deg): -0.3, Flash time: 8
09203455.jpg - 09.09.2011 20:34 X(m): -1941.07, Y(m): 1714.27, Alt(m): 1.72, Depth(m): 33.52, V(m/s): 0.10, Heading(deg): 106.1, Pitch(deg): -0.3, Flash time: 8
